SkuRefId,Name,Value
94049118,Size,S
95738724,Size,M
95701712,Size,L
95702053,Size,XL
81688217,Size,XXL
91692217,Size,XS
96069283,Size,S
96212980,Size,M
94340242,Size,L
95352565,Size,XL
93504023,Size,XXL
95393876,Size,XXS
95225868,Size,XS
56361256,Size,S
95362216,Size,M
96341166,Size,L
95362894,Size,XL
95933723,Size,XXL
81688147,Size,XXS
56361122,Size,XS
81688110,Size,S
92023339,Size,M
81000008,Size,L
91270462,Size,XL
85087289,Size,XXL
95859440,Size,XS
94049769,Size,S
97186972,Size,M
94134292,Size,L
95841977,Size,XL
96471881,Size,24
96481110,Size,25
93504062,Size,26
95938537,Size,27
94427002,Size,28
90052080,Size,29
93060233,Size,30
95765151,Size,31
87133113,Size,32
94134362,Size,XS
96017080,Size,S
92023123,Size,M
96481186,Size,L
96410360,Size,XL
81683876,Size,24
92911724,Size,25
94113957,Size,26
96062129,Size,27
95842309,Size,28
96172783,Size,29
93503243,Size,30
94223629,Size,31
88254713,Size,32
95765163,Size,33
94295717,Size,34
92022806,Size,XS
95761634,Size,S
95938686,Size,M
94573385,Size,L
95939069,Size,XL
91693419,Size,XS
39045028,Size,S
94373109,Size,M
94049705,Size,L
94237026,Size,XL
96481159,Size,24
91271052,Size,25
94338253,Size,26
93951341,Size,27
96028355,Size,28
94245494,Size,29
96078332,Size,30
94245416,Size,31
94898223,Size,32
95681836,Size,33
95738751,Size,34
92022788,Size,24
95352611,Size,25
97186969,Size,26
95325801,Size,27
94907315,Size,28
93952446,Size,29
96410427,Size,30
95702078,Size,31
94200857,Size,32
94573397,Size,33
96601154,Size,34
94685916,Size,24
96172962,Size,25
95591244,Size,26
80715726,Size,27
96481498,Size,28
95994778,Size,29
93423323,Size,30
93501642,Size,31
94340184,Size,32
94339659,Size,33
94245361,Size,34
95938116,Size,XXS
96213313,Size,XS
94491248,Size,S
95702038,Size,M
93389600,Size,L
96166122,Size,XL
94200927,Size,XXL
95701303,Size,XS
87134928,Size,S
92829746,Size,M
95597835,Size,L
95491598,Size,XL
97082078,Size,XS
96233886,Size,S
96233929,Size,M
81688459,Size,L
96030079,Size,XL
80715792,Size,4
94245743,Size,6
95765246,Size,8
95352483,Size,10
94685970,Size,12
93503230,Size,14
95939057,Size,16
96062704,Size,18
96405144,Size,XS
94125275,Size,S
95938455,Size,M
96213243,Size,L
94047064,Size,XL
95191683,Size,XXL
96031205,Size,XS
95325768,Size,S
94426968,Size,M
94190621,Size,L
92023150,Size,XL
94928115,Size,XS
85087097,Size,S
97186887,Size,M
94260781,Size,L
96031111,Size,XL
94049279,Size,XS
97188670,Size,S
92023342,Size,M
96028694,Size,L
95842324,Size,XL
95954551,Size,XXS
81688186,Size,XS
96373326,Size,S
94340132,Size,M
87134506,Size,L
96068954,Size,XL
96027917,Size,XXL
92022994,Size,S
95325592,Size,M
95989171,Size,L
91384225,Size,XXS
96284920,Size,XS
81683397,Size,S
90766540,Size,M
94911895,Size,L
84486321,Size,XL
94113899,Size,XS
96017366,Size,S
94907557,Size,M
94047174,Size,L
96471720,Size,XL
95701916,Size,XXL
96475587,Size,3XL
96475918,Size,XS
94906967,Size,S
95597138,Size,M
94476479,Size,L
95264244,Size,XL
93423280,Size,XXL
94124766,Size,3XL
95191507,Size,XS
95938730,Size,S
96234316,Size,M
95280340,Size,L
95989183,Size,XL
95191164,Size,XXL
95936215,Size,3XL
94049099,Size,XS
95933818,Size,S
96364155,Size,M
96382395,Size,L
96475575,Size,XL
94394727,Size,XXL
96491943,Size,3XL
94052404,Size,XS
87134258,Size,S
80579639,Size,M
93504336,Size,L
81689049,Size,XL
94978323,Size,XXL
92911616,Size,3XL
92912296,Size,XS
91270832,Size,S
94223789,Size,M
96405117,Size,L
94849015,Size,XL
81688844,Size,XXL
81688817,Size,3XL
80999751,Size,XS
86247774,Size,S
92911712,Size,M
97188655,Size,L
96481052,Size,XL
95996463,Size,XXL
95606711,Size,XS
94476142,Size,S
96062538,Size,M
94947518,Size,L
94372740,Size,XL
96068462,Size,XXL
96116640,Size,XS
96143940,Size,S
92912162,Size,M
94236860,Size,L
94373163,Size,XL
95689278,Size,XXL
96062241,Size,XS
96481064,Size,S
94245537,Size,M
87970486,Size,L
94134592,Size,XL
93462335,Size,XXL
95547383,Size,S
54488947,Size,M
96287272,Size,L
94338541,Size,XL
94114331,Size,XXL
85953696,Size,XS
69852964,Size,S
93504309,Size,M
81688392,Size,L
94114395,Size,XL
96490847,Size,XXL
96068411,Size,3XL
85953726,Size,4XL
91270627,Size,XS
95938782,Size,S
96030054,Size,M
96475657,Size,L
92407088,Size,XL
32448478,Size,XXL
95352471,Size,3XL
88802191,Size,4XL
96069013,Size,XS
96784265,Size,S
94124685,Size,M
92819923,Size,L
90766716,Size,XL
45121428,Size,XXL
94338923,Size,3XL
95666576,Size,4XL
91271341,Size,XS
92830283,Size,S
94492737,Size,M
96522490,Size,L
81683890,Size,XL
90766743,Size,XXL
77082195,Size,3XL
94978362,Size,4XL
94125287,Size,XS
95636990,Size,S
93058412,Size,M
94295526,Size,L
69851710,Size,XL
96490859,Size,XXL
93386015,Size,3XL
96068520,Size,4XL
87133968,Size,XS
95376202,Size,S
93390000,Size,M
94124985,Size,L
96393165,Size,XL
95325348,Size,XXL
81684029,Size,3XL
94124781,Size,4XL
94049688,Size,XS
95584479,Size,S
96017408,Size,M
95280088,Size,L
94884825,Size,XL
96310652,Size,XXL
95325399,Size,3XL
94114629,Size,4XL
93503119,Size,XS
85118289,Size,S
95767868,Size,M
95765260,Size,L
95192233,Size,XL
95597741,Size,XXL
77082226,Size,3XL
93502434,Size,XS
95870495,Size,S
96234355,Size,M
95584466,Size,L
93385929,Size,XL
94911040,Size,XXL
94338892,Size,3XL
94926950,Size,XS
95702026,Size,S
94668726,Size,M
96069326,Size,L
95694780,Size,XL
94295675,Size,XXL
94052201,Size,3XL
94907545,Size,XS
96213255,Size,S
95933884,Size,M
96172768,Size,L
95675036,Size,XL
95636705,Size,XXL
95762633,Size,3XL
77082350,Size,XS
95280964,Size,S
96213063,Size,M
95939045,Size,L
94394306,Size,XL
94956741,Size,XXL
81688410,Size,3XL
95397475,Size,XS
94421050,Size,S
95606642,Size,M
87133067,Size,L
95368956,Size,XL
84486397,Size,XXL
95636912,Size,3XL
94669028,Size,XS
96234303,Size,S
96481474,Size,M
69853172,Size,L
95191695,Size,XL
95191822,Size,XXL
81688268,Size,3XL
92023315,Size,28
94685873,Size,30
38359425,Size,32
96784308,Size,34
95478558,Size,36
92830229,Size,XS
96475753,Size,S
94223617,Size,M
93389977,Size,L
96028463,Size,XL
94897251,Size,XS
97082135,Size,S
97054027,Size,M
92911788,Size,L
95938610,Size,XL
95191464,Size,XS
94468159,Size,S
95666536,Size,M
96212978,Size,L
92912135,Size,XL
96031148,Size,XS
92023108,Size,S
96481544,Size,M
95325704,Size,L
93389364,Size,XL
91270927,Size,XXL
93492492,Size,28
48108532,Size,29
95131230,Size,30
95930141,Size,31
96659691,Size,32
80579805,Size,33
95597029,Size,34
95478546,Size,35
95765258,Size,36
95841940,Size,38
97187929,Size,40
95192136,Size,42
95701806,Size,XS
92022903,Size,S
96417936,Size,M
95701190,Size,L
87140582,Size,XL
95192246,Size,XXL
96213340,Size,XS
96213364,Size,S
94125208,Size,M
96475741,Size,L
95701709,Size,XL
81684031,Size,XXL
92023245,Size,XS
92384102,Size,S
93462278,Size,M
95989348,Size,L
96030066,Size,XL
94685670,Size,XXL
92912175,Size,XS
94338241,Size,S
92023232,Size,M
92022858,Size,L
69851895,Size,XL
94928127,Size,XXL
87133028,Size,XS
86663973,Size,S
95191207,Size,M
97082162,Size,L
96287342,Size,XL
94340120,Size,XXL
94245610,Size,XS
96481013,Size,S
93060370,Size,M
32448535,Size,L
85087155,Size,XL
95929222,Size,XXL
94114286,Size,XS
96062650,Size,S
88254700,Size,M
94340035,Size,L
96049252,Size,XL
94338662,Size,XXL
59812035,Size,XS
86247844,Size,S
85381043,Size,M
95701093,Size,L
85382749,Size,XL
94124973,Size,XXL
96068993,Size,XS
86602643,Size,S
81688378,Size,M
92023148,Size,L
91270572,Size,XL
97082175,Size,XXL
95187685,Size,XS
96144349,Size,S
92829594,Size,M
92911751,Size,L
96027929,Size,XL
94394454,Size,XXL
96079859,Size,XS
96017065,Size,S
95681851,Size,M
87134476,Size,L
95377007,Size,XL
94492917,Size,XXL
95930138,Size,XS
94223695,Size,S
95393906,Size,M
85953738,Size,L
96475548,Size,XL
59811625,Size,XXL
96410373,Size,XS
