warehouseId,skuId,refId,unlimitedQuantity,dateUtcOnBalanceSystem,quantity
1,,94124836,true,,5
1,,95397041,true,,14
1,,96213270,true,,17
1,,81683779,true,,12
1,,94125192,true,,3
1,,96213294,true,,54
1,,95938467,true,,172
1,,80579505,true,,213
1,,94339934,true,,140
1,,94884155,true,,19
1,,96172908,true,,5
1,,96601179,true,,13
1,,56361110,true,,16
1,,95936227,true,,11
1,,95591410,true,,4
1,,95938416,true,,57
1,,94114344,true,,171
1,,96049334,true,,220
1,,96405104,true,,126
1,,95946245,true,,24
1,,93952419,true,,73
1,,88802189,true,,195
1,,91271077,true,,259
1,,94426561,true,,150
1,,95754979,true,,32
1,,95938674,true,,6
1,,94956945,true,,17
1,,91271256,true,,21
1,,81688992,true,,11
1,,96410415,true,,4
1,,94260876,true,,48
1,,94190660,true,,135
1,,93390025,true,,169
1,,94394812,true,,93
1,,91270569,true,,15
1,,95877707,true,,66
1,,95666481,true,,177
1,,96784201,true,,220
1,,95767901,true,,114
1,,94338311,true,,21
1,,94338292,true,,3
1,,96062253,true,,7
1,,96471963,true,,20
1,,95933805,true,,15
1,,93389458,true,,12
1,,95930957,true,,4
1,,94476360,true,,1
1,,69851531,true,,5
1,,93058573,true,,18
1,,87134449,true,,17
1,,92830134,true,,11
1,,80999819,true,,4
1,,91270942,true,,3
1,,94260888,true,,9
1,,95397080,true,,20
1,,96031135,true,,23
1,,95938213,true,,12
1,,94124921,true,,4
1,,93096725,true,,7
1,,85087073,true,,15
1,,92023284,true,,17
1,,95939154,true,,5
1,,32448426,true,,119
1,,94124849,true,,182
1,,87140613,true,,183
1,,94957822,true,,119
1,,92022709,true,,155
1,,97188521,true,,235
1,,96475848,true,,237
1,,96062214,true,,155
1,,56361231,true,,169
1,,95989308,true,,255
1,,95606750,true,,254
1,,94338280,true,,169
1,,94394658,true,,16
1,,95264064,true,,34
1,,95954549,true,,73
1,,93389421,true,,28
1,,96213282,true,,23
1,,94245730,true,,25
1,,92911694,true,,24
1,,96213228,true,,12
1,,56361134,true,,8
1,,95738790,true,,44
1,,92384115,true,,16
1,,87134136,true,,23
1,,93058585,true,,10
1,,96017187,true,,26
1,,96049277,true,,52
1,,96062292,true,,139
1,,66733173,true,,122
1,,81684071,true,,25
1,,95067683,true,,71
1,,94339610,true,,202
1,,87140570,true,,183
1,,95005232,true,,73
1,,92912339,true,,37
1,,96492092,true,,95
1,,85087103,true,,80
1,,93423241,true,,16
1,,80999943,true,,72
1,,94339634,true,,180
1,,94134501,true,,173
1,,94492931,true,,54
1,,95369233,true,,31
1,,96405129,true,,32
1,,93501475,true,,21
1,,54483832,true,,75
1,,93609692,true,,259
1,,96037658,true,,86
1,,92829758,true,,40
1,,91271013,true,,25
1,,93951231,true,,4
1,,95325814,true,,19
1,,95938398,true,,12
1,,95859400,true,,4
1,,69851914,true,,8
1,,94608268,true,,19
1,,96234260,true,,6
1,,96062541,true,,3
1,,95264231,true,,2
1,,95931070,true,,2
1,,96234273,true,,2
1,,95989362,true,,32
1,,93504087,true,,107
1,,94685943,true,,93
1,,93501487,true,,22
1,,94394633,true,,31
1,,32448480,true,,112
1,,94947520,true,,114
1,,95369546,true,,28
1,,92912269,true,,23
1,,94114617,true,,80
1,,95938540,true,,81
1,,87140528,true,,27
1,,93952377,true,,41
1,,95325865,true,,180
1,,96492150,true,,170
1,,94047338,true,,38
1,,96409740,true,,47
1,,94978350,true,,142
1,,90766589,true,,114
1,,91270602,true,,12
1,,94394290,true,,2
